Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1776995241
Base Time Fractional,.801977820
Base Time,04/24/2026 01:47:21.801977820
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
3.38245081366e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000003744432,Amp DC,.01,T,4W,F,F,0.000000000
8.776743925409e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000994278089,Amp DC,.01,T,4W,F,F,0.070465540
7.851576810936e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002000262466,Amp DC,.01,T,4W,F,F,0.140940180
9.630672138883e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002999112476,Amp DC,.01,T,4W,F,F,0.211402740
1.042771691573e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003999480978,Amp DC,.01,T,4W,F,F,0.281875140
1.214992516907e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999656812,Amp DC,.01,T,4W,F,F,0.352338700
1.271921064472e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006000301801,Amp DC,.01,T,4W,F,F,0.422791920
1.343084659311e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007000692422,Amp DC,.01,T,4W,F,F,0.493240440
1.501071164967e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0008000960224,Amp DC,.01,T,4W,F,F,0.563726680
1.653362778598e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0008999569691,Amp DC,.01,T,4W,F,F,0.634192260
1.780035017873e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0010000043549,Amp DC,.01,T,4W,F,F,0.704666260
1.888205224532e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0011000080267,Amp DC,.01,T,4W,F,F,0.775138980
2.063271313091e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0012000561692,Amp DC,.01,T,4W,F,F,0.845601720
2.181403033319e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0013000721810,Amp DC,.01,T,4W,F,F,0.916075760
2.273916106788e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0014000986703,Amp DC,.01,T,4W,F,F,0.986545760
2.476024747011e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0014999697451,Amp DC,.01,T,4W,F,F,1.056994980
2.503067662474e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0016000055475,Amp DC,.01,T,4W,F,F,1.127467660
2.673862582014e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0017000214430,Amp DC,.01,T,4W,F,F,1.197926280
2.838960790541e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0018000596901,Amp DC,.01,T,4W,F,F,1.268392000
2.996945113409e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0019000888569,Amp DC,.01,T,4W,F,F,1.338860260
3.065262717428e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0020001234952,Amp DC,.01,T,4W,F,F,1.409322740
3.240326259402e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0020999817643,Amp DC,.01,T,4W,F,F,1.479796200
3.352767089382e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0022000279278,Amp DC,.01,T,4W,F,F,1.550259240
3.482285319478e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0023000515066,Amp DC,.01,T,4W,F,F,1.620719100
